invoice_no;customer_id;gender;age;category;quantity;price;payment_method;invoice_date;shopping_mall;Total_Amount;year;month;YearMonth;Quarter_of_Year;Age_Group
I263473;C162574;Female;58;Shoes;3;1800.51;Credit Card;2/08/2021;Kanyon;5401.53;2021;8;2021-08;3;Senior
I177317;C331880;Male;53;Food & Beverage;4;20.92;Cash;16/04/2021;Mall of Istanbul;83.68;2021;4;2021-04;2;Senior
I941223;C291911;Female;53;Clothing;5;1500.4;Credit Card;3/02/2023;Emaar Square Mall;7502;2023;2;2023-02;1;Senior
I323436;C153958;Male;39;Food & Beverage;5;26.15;Debit Card;6/05/2022;Kanyon;130.75;2022;5;2022-05;2;Adult
I245250;C125209;Female;21;Shoes;1;600.17;Cash;5/02/2022;Mall of Istanbul;600.17;2022;2;2022-02;1;Young
I589196;C320640;Female;51;Toys;1;35.84;Credit Card;1/12/2022;Mall of Istanbul;35.84;2022;12;2022-12;4;Senior
I241028;C803666;Male;50;Clothing;2;600.16;Debit Card;16/12/2021;Emaar Square Mall;1200.32;2021;12;2021-12;4;Senior
I846943;C134691;Female;50;Cosmetics;4;162.64;Cash;6/01/2023;Mall of Istanbul;650.56;2023;1;2023-01;1;Senior
I131492;C729802;Male;61;Food & Beverage;3;15.69;Cash;8/12/2021;Kanyon;47.07;2021;12;2021-12;4;Senior
I252340;C252250;Male;44;Food & Beverage;5;26.15;Credit Card;23/02/2021;Mall of Istanbul;130.75;2021;2;2021-02;1;Adult
I571614;C208545;Female;31;Souvenir;4;46.92;Debit Card;7/01/2022;Istinye Park;187.68;2022;1;2022-01;1;Adult
I269945;C310975;Male;64;Food & Beverage;1;5.23;Credit Card;14/02/2022;Kanyon;5.23;2022;2;2022-02;1;Senior
I293115;C109758;Male;50;Clothing;2;600.16;Credit Card;20/05/2022;Viaport Outlet;1200.32;2022;5;2022-05;2;Senior
I180632;C214463;Male;45;Clothing;1;300.08;Credit Card;15/10/2021;Istinye Park;300.08;2021;10;2021-10;4;Adult
I946433;C387164;Female;29;Technology;4;4200;Debit Card;2/02/2023;Kanyon;16800;2023;2;2023-02;1;Adult
I557864;C135196;Female;33;Clothing;1;300.08;Cash;9/11/2021;Mall of Istanbul;300.08;2021;11;2021-11;4;Adult
I721903;C284031;Male;29;Food & Beverage;2;10.46;Cash;9/01/2023;Mall of Istanbul;20.92;2023;1;2023-01;1;Adult
I995914;C259260;Male;65;Technology;3;3150;Credit Card;22/11/2021;Metrocity;9450;2021;11;2021-11;4;Senior
I423124;C109593;Female;66;Clothing;1;300.08;Cash;7/01/2023;Metrocity;300.08;2023;1;2023-01;1;Senior
I318626;C270238;Male;54;Cosmetics;3;121.98;Credit Card;23/09/2022;Istinye Park;365.94;2022;9;2022-09;3;Senior
I284431;C308978;Male;44;Technology;4;4200;Credit Card;24/06/2022;Metropol AVM;16800;2022;6;2022-06;2;Adult
I334469;C221607;Male;46;Toys;5;179.2;Cash;4/07/2021;Kanyon;896;2021;7;2021-07;3;Senior
I568785;C115148;Male;37;Food & Beverage;5;26.15;Cash;23/08/2021;Metropol AVM;130.75;2021;8;2021-08;3;Adult
I307376;C253248;Female;22;Food & Beverage;5;26.15;Credit Card;11/08/2022;Metrocity;130.75;2022;8;2022-08;3;Young
I136509;C290760;Female;55;Cosmetics;4;162.64;Cash;2/08/2021;Mall of Istanbul;650.56;2021;8;2021-08;3;Senior
I194798;C258089;Male;41;Technology;2;2100;Cash;7/07/2022;Mall of Istanbul;4200;2022;7;2022-07;3;Adult
I236520;C222102;Male;42;Toys;3;107.52;Credit Card;13/02/2022;Viaport Outlet;322.56;2022;2;2022-02;1;Adult
I295482;C209440;Male;24;Shoes;3;1800.51;Credit Card;17/10/2022;Zorlu Center;5401.53;2022;10;2022-10;4;Young
I472275;C203263;Female;43;Cosmetics;4;162.64;Cash;14/11/2022;Metrocity;650.56;2022;11;2022-11;4;Adult
I301404;C232103;Male;40;Clothing;3;900.24;Credit Card;24/03/2021;Cevahir AVM;2700.72;2021;3;2021-03;1;Adult
I100487;C213360;Female;22;Cosmetics;4;162.64;Cash;19/02/2021;Kanyon;650.56;2021;2;2021-02;1;Young
I206026;C225105;Female;27;Books;1;15.15;Cash;12/11/2022;Forum Istanbul;15.15;2022;11;2022-11;4;Adult
I332620;C158124;Female;68;Cosmetics;2;81.32;Credit Card;13/04/2021;Mall of Istanbul;162.64;2021;4;2021-04;2;Senior
I434161;C246484;Female;48;Clothing;2;600.16;Credit Card;3/05/2021;Metropol AVM;1200.32;2021;5;2021-05;2;Senior
I166306;C197019;Female;56;Clothing;3;900.24;Cash;24/04/2022;Viaport Outlet;2700.72;2022;4;2022-04;2;Senior
I207389;C947114;Male;25;Clothing;3;900.24;Debit Card;17/12/2022;Kanyon;2700.72;2022;12;2022-12;4;Adult
I237018;C115431;Male;30;Food & Beverage;4;20.92;Cash;19/11/2022;Mall of Istanbul;83.68;2022;11;2022-11;4;Adult
I246114;C266394;Female;49;Toys;5;179.2;Credit Card;22/09/2022;Metropol AVM;896;2022;9;2022-09;3;Senior
I216889;C122371;Male;57;Clothing;2;600.16;Credit Card;16/03/2022;Mall of Istanbul;1200.32;2022;3;2022-03;1;Senior
I137065;C736428;Female;46;Food & Beverage;4;20.92;Cash;1/01/2022;Mall of Istanbul;83.68;2022;1;2022-01;1;Senior
I284262;C127339;Male;29;Food & Beverage;3;15.69;Cash;23/07/2021;Kanyon;47.07;2021;7;2021-07;3;Adult
I154122;C164662;Female;69;Cosmetics;1;40.66;Debit Card;22/12/2021;Metrocity;40.66;2021;12;2021-12;4;Senior
I950429;C248884;Female;42;Cosmetics;2;81.32;Debit Card;9/03/2022;Kanyon;162.64;2022;3;2022-03;1;Adult
I499170;C100684;Female;38;Toys;1;35.84;Credit Card;20/02/2022;Kanyon;35.84;2022;2;2022-02;1;Adult
I253083;C240688;Female;46;Clothing;2;600.16;Debit Card;14/11/2021;Metrocity;1200.32;2021;11;2021-11;4;Senior
I508173;C246364;Male;31;Cosmetics;3;121.98;Debit Card;23/01/2022;Metropol AVM;365.94;2022;1;2022-01;1;Adult
I763131;C195413;Male;26;Clothing;5;1500.4;Cash;16/01/2021;Mall of Istanbul;7502;2021;1;2021-01;1;Adult
I149766;C197308;Female;48;Cosmetics;3;121.98;Cash;2/04/2022;Mall of Istanbul;365.94;2022;4;2022-04;2;Senior
I702817;C264767;Male;30;Books;5;75.75;Credit Card;16/10/2022;Kanyon;378.75;2022;10;2022-10;4;Adult
I208491;C299172;Male;56;Clothing;1;300.08;Cash;18/01/2023;Kanyon;300.08;2023;1;2023-01;1;Senior
I337030;C994327;Male;65;Food & Beverage;2;10.46;Cash;27/09/2022;Metrocity;20.92;2022;9;2022-09;3;Senior
I312041;C337644;Female;53;Clothing;2;600.16;Credit Card;31/01/2022;Mall of Istanbul;1200.32;2022;1;2022-01;1;Senior
I150629;C175449;Female;43;Clothing;3;900.24;Cash;10/12/2022;Kanyon;2700.72;2022;12;2022-12;4;Adult
I197620;C249092;Male;26;Food & Beverage;2;10.46;Cash;8/04/2022;Metrocity;20.92;2022;4;2022-04;2;Adult
I730771;C432132;Male;23;Clothing;5;1500.4;Debit Card;5/08/2022;Metrocity;7502;2022;8;2022-08;3;Young
I873382;C289802;Female;54;Shoes;4;2400.68;Credit Card;7/01/2023;Metrocity;9602.72;2023;1;2023-01;1;Senior
I637675;C194330;Male;56;Clothing;4;1200.32;Cash;28/06/2021;Kanyon;4801.28;2021;6;2021-06;2;Senior
I153278;C127945;Female;37;Toys;2;71.68;Cash;4/06/2022;Mall of Istanbul;143.36;2022;6;2022-06;2;Adult
I842493;C202057;Male;48;Clothing;3;900.24;Debit Card;25/07/2021;Mall of Istanbul;2700.72;2021;7;2021-07;3;Senior
I156991;C315209;Male;56;Food & Beverage;2;10.46;Debit Card;14/02/2021;Emaar Square Mall;20.92;2021;2;2021-02;1;Senior
I722730;C323605;Female;58;Souvenir;2;23.46;Cash;28/07/2022;Kanyon;46.92;2022;7;2022-07;3;Senior
I299533;C282395;Female;40;Food & Beverage;3;15.69;Credit Card;9/09/2022;Kanyon;47.07;2022;9;2022-09;3;Adult
I187160;C109491;Female;38;Shoes;5;3000.85;Debit Card;19/03/2022;Kanyon;15004.25;2022;3;2022-03;1;Adult
I101832;C261194;Female;40;Cosmetics;3;121.98;Credit Card;25/12/2022;Kanyon;365.94;2022;12;2022-12;4;Adult
I943403;C232330;Male;64;Toys;1;35.84;Cash;20/09/2022;Mall of Istanbul;35.84;2022;9;2022-09;3;Senior
I454983;C737782;Male;28;Souvenir;5;58.65;Debit Card;12/04/2022;Mall of Istanbul;293.25;2022;4;2022-04;2;Adult
I338302;C123201;Male;49;Cosmetics;4;162.64;Debit Card;3/10/2021;Viaport Outlet;650.56;2021;10;2021-10;4;Senior
I328822;C230641;Male;51;Food & Beverage;3;15.69;Cash;13/06/2022;Metrocity;47.07;2022;6;2022-06;2;Senior
I168181;C805154;Male;22;Clothing;3;900.24;Credit Card;1/07/2021;Metrocity;2700.72;2021;7;2021-07;3;Young
I108543;C330021;Female;67;Clothing;5;1500.4;Debit Card;8/07/2022;Viaport Outlet;7502;2022;7;2022-07;3;Senior
I120615;C107668;Female;22;Toys;2;71.68;Credit Card;2/02/2022;Istinye Park;143.36;2022;2;2022-02;1;Young
I248840;C209722;Female;26;Clothing;3;900.24;Cash;10/11/2022;Mall of Istanbul;2700.72;2022;11;2022-11;4;Adult
I283774;C210614;Female;42;Toys;1;35.84;Debit Card;1/01/2023;Istinye Park;35.84;2023;1;2023-01;1;Adult
I212305;C212378;Female;45;Books;1;15.15;Credit Card;6/11/2021;Emaar Square Mall;15.15;2021;11;2021-11;4;Adult
I111228;C313586;Female;43;Clothing;1;300.08;Credit Card;9/04/2021;Kanyon;300.08;2021;4;2021-04;2;Adult
I230558;C292604;Female;35;Cosmetics;2;81.32;Debit Card;31/07/2021;Kanyon;162.64;2021;7;2021-07;3;Adult
I130124;C216257;Male;49;Clothing;3;900.24;Credit Card;15/08/2022;Viaport Outlet;2700.72;2022;8;2022-08;3;Senior
I221797;C272779;Female;49;Food & Beverage;3;15.69;Cash;24/08/2021;Metrocity;47.07;2021;8;2021-08;3;Senior
I154490;C100507;Male;33;Clothing;5;1500.4;Cash;24/01/2022;Mall of Istanbul;7502;2022;1;2022-01;1;Adult
I159376;C190072;Female;65;Food & Beverage;2;10.46;Cash;14/06/2022;Metropol AVM;20.92;2022;6;2022-06;2;Senior
I214545;C111827;Male;40;Souvenir;4;46.92;Cash;5/12/2021;Metropol AVM;187.68;2021;12;2021-12;4;Adult
I213589;C203955;Male;68;Technology;2;2100;Cash;12/10/2021;Viaport Outlet;4200;2021;10;2021-10;4;Senior
I101148;C680169;Female;26;Cosmetics;4;162.64;Cash;21/04/2022;Cevahir AVM;650.56;2022;4;2022-04;2;Adult
I186663;C281091;Male;38;Toys;1;35.84;Debit Card;24/06/2021;Kanyon;35.84;2021;6;2021-06;2;Adult
I291062;C209122;Female;56;Cosmetics;4;162.64;Credit Card;5/03/2023;Kanyon;650.56;2023;3;2023-03;1;Senior
I103389;C231964;Male;19;Cosmetics;1;40.66;Cash;9/05/2021;Kanyon;40.66;2021;5;2021-05;2;Young
I140596;C291641;Female;18;Cosmetics;2;81.32;Cash;11/09/2021;Metrocity;162.64;2021;9;2021-09;3;Young
I115322;C315386;Male;55;Food & Beverage;1;5.23;Credit Card;1/10/2021;Forum Istanbul;5.23;2021;10;2021-10;4;Senior
I273800;C290158;Female;53;Cosmetics;2;81.32;Cash;1/08/2021;Mall of Istanbul;162.64;2021;8;2021-08;3;Senior
I384332;C226218;Female;69;Cosmetics;1;40.66;Cash;4/09/2021;Metrocity;40.66;2021;9;2021-09;3;Senior
I268628;C633946;Male;27;Cosmetics;3;121.98;Cash;21/05/2021;Mall of Istanbul;365.94;2021;5;2021-05;2;Adult
I146305;C118742;Female;36;Food & Beverage;2;10.46;Cash;11/07/2022;Kanyon;20.92;2022;7;2022-07;3;Adult
I648743;C218295;Female;61;Shoes;5;3000.85;Debit Card;2/01/2023;Mall of Istanbul;15004.25;2023;1;2023-01;1;Senior
I148083;C636874;Female;43;Cosmetics;5;203.3;Credit Card;29/06/2021;Istinye Park;1016.5;2021;6;2021-06;2;Adult
I733806;C310472;Female;51;Food & Beverage;4;20.92;Credit Card;21/03/2021;Metropol AVM;83.68;2021;3;2021-03;1;Senior
I214007;C119440;Male;38;Toys;4;143.36;Credit Card;25/03/2022;Metrocity;573.44;2022;3;2022-03;1;Adult
I480974;C230305;Male;34;Food & Beverage;2;10.46;Debit Card;10/05/2021;Mall of Istanbul;20.92;2021;5;2021-05;2;Adult
I126095;C197131;Male;23;Food & Beverage;5;26.15;Credit Card;24/03/2022;Metropol AVM;130.75;2022;3;2022-03;1;Young
I100033;C278721;Male;56;Food & Beverage;4;20.92;Credit Card;19/10/2021;Zorlu Center;83.68;2021;10;2021-10;4;Senior
I265860;C247868;Male;60;Food & Beverage;4;20.92;Credit Card;15/03/2022;Mall of Istanbul;83.68;2022;3;2022-03;1;Senior
I512570;C834257;Female;59;Souvenir;4;46.92;Cash;24/11/2022;Metrocity;187.68;2022;11;2022-11;4;Senior
I118757;C242041;Male;43;Clothing;1;300.08;Credit Card;21/07/2022;Kanyon;300.08;2022;7;2022-07;3;Adult
I313516;C892871;Male;55;Books;4;60.6;Cash;29/03/2021;Metrocity;242.4;2021;3;2021-03;1;Senior
I223795;C280596;Male;40;Clothing;3;900.24;Cash;26/12/2022;Metrocity;2700.72;2022;12;2022-12;4;Adult
I254341;C703073;Female;43;Food & Beverage;2;10.46;Credit Card;21/01/2023;Metropol AVM;20.92;2023;1;2023-01;1;Adult
I273435;C282097;Male;59;Food & Beverage;4;20.92;Credit Card;6/11/2021;Emaar Square Mall;83.68;2021;11;2021-11;4;Senior
I127616;C179726;Male;24;Books;5;75.75;Debit Card;12/12/2021;Kanyon;378.75;2021;12;2021-12;4;Young
I893043;C838282;Female;63;Clothing;5;1500.4;Credit Card;11/11/2022;Kanyon;7502;2022;11;2022-11;4;Senior
I295712;C181939;Male;31;Food & Beverage;2;10.46;Cash;25/06/2022;Mall of Istanbul;20.92;2022;6;2022-06;2;Adult
I162565;C755148;Female;69;Clothing;2;600.16;Credit Card;4/07/2022;Istinye Park;1200.32;2022;7;2022-07;3;Senior
I300520;C282107;Female;36;Books;3;45.45;Credit Card;2/02/2023;Metrocity;136.35;2023;2;2023-02;1;Adult
I149473;C102560;Female;54;Clothing;3;900.24;Cash;30/01/2021;Kanyon;2700.72;2021;1;2021-01;1;Senior
I936118;C229670;Male;22;Food & Beverage;3;15.69;Cash;19/02/2023;Istinye Park;47.07;2023;2;2023-02;1;Young
I242648;C269986;Male;39;Food & Beverage;1;5.23;Cash;22/06/2022;Metrocity;5.23;2022;6;2022-06;2;Adult
I725938;C191300;Male;26;Cosmetics;3;121.98;Debit Card;16/10/2022;Metropol AVM;365.94;2022;10;2022-10;4;Adult
I299480;C167158;Male;44;Shoes;2;1200.34;Credit Card;9/12/2022;Metrocity;2400.68;2022;12;2022-12;4;Adult
I134272;C318225;Female;35;Toys;1;35.84;Debit Card;1/12/2022;Metropol AVM;35.84;2022;12;2022-12;4;Adult
I128518;C101108;Female;66;Shoes;1;600.17;Debit Card;6/09/2021;Mall of Istanbul;600.17;2021;9;2021-09;3;Senior
I293208;C103073;Male;61;Shoes;1;600.17;Cash;7/02/2022;Mall of Istanbul;600.17;2022;2;2022-02;1;Senior
I332003;C299787;Female;30;Cosmetics;2;81.32;Credit Card;16/12/2021;Cevahir AVM;162.64;2021;12;2021-12;4;Adult
I251779;C555827;Male;55;Toys;5;179.2;Debit Card;12/03/2022;Zorlu Center;896;2022;3;2022-03;1;Senior
I334155;C992695;Female;22;Books;3;45.45;Debit Card;15/12/2022;Viaport Outlet;136.35;2022;12;2022-12;4;Young
I724379;C178176;Female;51;Clothing;1;300.08;Debit Card;26/12/2021;Metropol AVM;300.08;2021;12;2021-12;4;Senior
I843249;C211245;Male;53;Cosmetics;4;162.64;Cash;4/01/2021;Kanyon;650.56;2021;1;2021-01;1;Senior
I292746;C139231;Female;54;Clothing;5;1500.4;Credit Card;27/04/2022;Viaport Outlet;7502;2022;4;2022-04;2;Senior
I230701;C339339;Male;34;Clothing;2;600.16;Credit Card;19/02/2023;Emaar Square Mall;1200.32;2023;2;2023-02;1;Adult
I230983;C321993;Female;49;Clothing;1;300.08;Credit Card;2/03/2023;Kanyon;300.08;2023;3;2023-03;1;Senior
I313187;C226519;Female;41;Souvenir;4;46.92;Cash;28/01/2021;Kanyon;187.68;2021;1;2021-01;1;Adult
I206607;C715684;Female;34;Clothing;1;300.08;Credit Card;19/06/2021;Kanyon;300.08;2021;6;2021-06;2;Adult
I323928;C328195;Female;59;Cosmetics;3;121.98;Cash;16/07/2021;Cevahir AVM;365.94;2021;7;2021-07;3;Senior
I374693;C284366;Female;20;Food & Beverage;2;10.46;Cash;3/11/2021;Istinye Park;20.92;2021;11;2021-11;4;Young
I318521;C354398;Female;23;Clothing;5;1500.4;Cash;16/11/2021;Mall of Istanbul;7502;2021;11;2021-11;4;Young
I222827;C317063;Female;25;Clothing;3;900.24;Credit Card;27/11/2022;Mall of Istanbul;2700.72;2022;11;2022-11;4;Adult
I649554;C156360;Female;63;Toys;3;107.52;Debit Card;2/08/2021;Kanyon;322.56;2021;8;2021-08;3;Senior
I111055;C474896;Male;68;Technology;1;1050;Credit Card;26/08/2022;Mall of Istanbul;1050;2022;8;2022-08;3;Senior
I570709;C140082;Male;58;Shoes;1;600.17;Debit Card;8/09/2021;Cevahir AVM;600.17;2021;9;2021-09;3;Senior
I251307;C240510;Male;58;Shoes;1;600.17;Debit Card;1/01/2022;Mall of Istanbul;600.17;2022;1;2022-01;1;Senior
I117277;C292758;Male;47;Clothing;1;300.08;Credit Card;11/01/2023;Istinye Park;300.08;2023;1;2023-01;1;Senior
I240824;C222262;Female;22;Clothing;5;1500.4;Credit Card;28/08/2021;Mall of Istanbul;7502;2021;8;2021-08;3;Young
I135134;C130016;Female;51;Cosmetics;1;40.66;Credit Card;1/03/2021;Metrocity;40.66;2021;3;2021-03;1;Senior
I222401;C305749;Male;56;Food & Beverage;5;26.15;Cash;22/05/2021;Viaport Outlet;130.75;2021;5;2021-05;2;Senior
I263185;C316261;Male;33;Clothing;5;1500.4;Cash;9/03/2021;Kanyon;7502;2021;3;2021-03;1;Adult
I311849;C178487;Male;27;Technology;5;5250;Debit Card;21/04/2021;Cevahir AVM;26250;2021;4;2021-04;2;Adult
I137332;C205731;Male;50;Shoes;4;2400.68;Cash;3/05/2021;Istinye Park;9602.72;2021;5;2021-05;2;Senior
I319596;C171122;Female;49;Technology;1;1050;Cash;13/01/2022;Istinye Park;1050;2022;1;2022-01;1;Senior
I632642;C266021;Female;52;Souvenir;5;58.65;Cash;12/03/2022;Mall of Istanbul;293.25;2022;3;2022-03;1;Senior
I127930;C576719;Male;54;Clothing;1;300.08;Cash;15/11/2022;Kanyon;300.08;2022;11;2022-11;4;Senior
I258931;C254022;Male;19;Cosmetics;3;121.98;Credit Card;20/10/2021;Emaar Square Mall;365.94;2021;10;2021-10;4;Young
I230411;C121489;Female;49;Cosmetics;5;203.3;Debit Card;30/09/2021;Mall of Istanbul;1016.5;2021;9;2021-09;3;Senior
I136610;C211545;Female;44;Cosmetics;4;162.64;Credit Card;31/01/2021;Mall of Istanbul;650.56;2021;1;2021-01;1;Adult
I234673;C245349;Male;69;Food & Beverage;4;20.92;Credit Card;8/07/2021;Metropol AVM;83.68;2021;7;2021-07;3;Senior
I138615;C644605;Female;41;Clothing;5;1500.4;Debit Card;7/10/2021;Kanyon;7502;2021;10;2021-10;4;Adult
I116541;C293936;Female;25;Toys;2;71.68;Cash;9/07/2021;Viaport Outlet;143.36;2021;7;2021-07;3;Adult
I332971;C387282;Female;51;Shoes;4;2400.68;Cash;13/01/2021;Istinye Park;9602.72;2021;1;2021-01;1;Senior
I786653;C405837;Female;53;Shoes;1;600.17;Cash;20/07/2022;Mall of Istanbul;600.17;2022;7;2022-07;3;Senior
I115338;C193298;Female;20;Clothing;3;900.24;Credit Card;1/09/2021;Emaar Square Mall;2700.72;2021;9;2021-09;3;Young
I201131;C363987;Male;62;Clothing;1;300.08;Cash;25/10/2022;Cevahir AVM;300.08;2022;10;2022-10;4;Senior
I328046;C995929;Female;30;Cosmetics;3;121.98;Debit Card;17/06/2022;Mall of Istanbul;365.94;2022;6;2022-06;2;Adult
I153790;C236969;Female;47;Cosmetics;1;40.66;Cash;9/05/2021;Viaport Outlet;40.66;2021;5;2021-05;2;Senior
I251311;C145797;Male;40;Shoes;4;2400.68;Credit Card;29/04/2022;Emaar Square Mall;9602.72;2022;4;2022-04;2;Adult
I326582;C241450;Female;35;Clothing;3;900.24;Credit Card;9/11/2021;Metrocity;2700.72;2021;11;2021-11;4;Adult
I474661;C196296;Female;41;Cosmetics;5;203.3;Cash;8/10/2021;Mall of Istanbul;1016.5;2021;10;2021-10;4;Adult
I160638;C306908;Female;48;Clothing;2;600.16;Cash;29/05/2022;Kanyon;1200.32;2022;5;2022-05;2;Senior
I437948;C141984;Male;26;Food & Beverage;5;26.15;Cash;22/08/2022;Metrocity;130.75;2022;8;2022-08;3;Adult
I282321;C720642;Female;27;Food & Beverage;1;5.23;Cash;16/11/2022;Kanyon;5.23;2022;11;2022-11;4;Adult
I707747;C270638;Female;26;Souvenir;5;58.65;Debit Card;17/08/2022;Kanyon;293.25;2022;8;2022-08;3;Adult
I158486;C858536;Female;65;Food & Beverage;3;15.69;Credit Card;10/02/2023;Istinye Park;47.07;2023;2;2023-02;1;Senior
I224933;C289573;Female;25;Cosmetics;2;81.32;Credit Card;20/01/2021;Kanyon;162.64;2021;1;2021-01;1;Adult
I164873;C122094;Female;19;Books;4;60.6;Credit Card;19/05/2022;Metrocity;242.4;2022;5;2022-05;2;Young
I325555;C162986;Male;21;Technology;4;4200;Credit Card;30/01/2023;Metrocity;16800;2023;1;2023-01;1;Young
I325396;C271881;Female;61;Food & Beverage;5;26.15;Cash;25/02/2021;Istinye Park;130.75;2021;2;2021-02;1;Senior
I280155;C214260;Female;65;Toys;5;179.2;Debit Card;18/12/2022;Mall of Istanbul;896;2022;12;2022-12;4;Senior
I156562;C209210;Female;23;Cosmetics;4;162.64;Credit Card;16/07/2022;Metrocity;650.56;2022;7;2022-07;3;Young
I332361;C296477;Male;42;Clothing;3;900.24;Cash;18/01/2022;Kanyon;2700.72;2022;1;2022-01;1;Adult
I317628;C134069;Male;33;Food & Beverage;3;15.69;Credit Card;11/09/2021;Mall of Istanbul;47.07;2021;9;2021-09;3;Adult
I907952;C241442;Female;54;Clothing;2;600.16;Credit Card;7/08/2022;Metropol AVM;1200.32;2022;8;2022-08;3;Senior
I281621;C312418;Female;67;Food & Beverage;4;20.92;Credit Card;31/01/2021;Kanyon;83.68;2021;1;2021-01;1;Senior
I289841;C127004;Female;41;Food & Beverage;1;5.23;Cash;15/07/2021;Cevahir AVM;5.23;2021;7;2021-07;3;Adult
I335087;C198868;Female;57;Books;5;75.75;Cash;16/10/2021;Kanyon;378.75;2021;10;2021-10;4;Senior
I239889;C173860;Female;35;Clothing;1;300.08;Cash;29/03/2021;Mall of Istanbul;300.08;2021;3;2021-03;1;Adult
I742907;C186098;Male;62;Clothing;1;300.08;Cash;22/09/2021;Metropol AVM;300.08;2021;9;2021-09;3;Senior
I271714;C285261;Male;26;Toys;1;35.84;Cash;20/03/2021;Emaar Square Mall;35.84;2021;3;2021-03;1;Adult
I457421;C214662;Male;48;Cosmetics;4;162.64;Cash;28/08/2022;Kanyon;650.56;2022;8;2022-08;3;Senior
I246390;C163444;Female;57;Clothing;4;1200.32;Cash;3/06/2022;Metropol AVM;4801.28;2022;6;2022-06;2;Senior
I179338;C533520;Female;53;Shoes;2;1200.34;Cash;27/03/2021;Istinye Park;2400.68;2021;3;2021-03;1;Senior
I254528;C339565;Male;58;Cosmetics;4;162.64;Cash;4/11/2021;Mall of Istanbul;650.56;2021;11;2021-11;4;Senior
I299925;C202977;Female;32;Clothing;2;600.16;Credit Card;11/08/2021;Mall of Istanbul;1200.32;2021;8;2021-08;3;Adult
I321373;C237063;Female;23;Food & Beverage;5;26.15;Cash;5/08/2022;Zorlu Center;130.75;2022;8;2022-08;3;Young
I966684;C108497;Female;49;Toys;4;143.36;Cash;2/10/2022;Mall of Istanbul;573.44;2022;10;2022-10;4;Senior
I726807;C219299;Female;26;Clothing;4;1200.32;Credit Card;30/12/2022;Viaport Outlet;4801.28;2022;12;2022-12;4;Adult
I333100;C247547;Female;62;Clothing;5;1500.4;Credit Card;5/01/2022;Mall of Istanbul;7502;2022;1;2022-01;1;Senior
I207643;C190917;Male;30;Toys;1;35.84;Cash;28/02/2022;Mall of Istanbul;35.84;2022;2;2022-02;1;Adult
I647207;C337220;Female;28;Clothing;2;600.16;Credit Card;10/11/2022;Kanyon;1200.32;2022;11;2022-11;4;Adult
I330964;C217919;Female;65;Shoes;2;1200.34;Debit Card;29/11/2022;Metropol AVM;2400.68;2022;11;2022-11;4;Senior
I237324;C112544;Female;56;Toys;1;35.84;Credit Card;21/08/2021;Forum Istanbul;35.84;2021;8;2021-08;3;Senior
I269825;C168912;Female;40;Food & Beverage;3;15.69;Cash;29/06/2021;Mall of Istanbul;47.07;2021;6;2021-06;2;Adult
I305024;C279747;Male;55;Clothing;4;1200.32;Credit Card;7/07/2021;Kanyon;4801.28;2021;7;2021-07;3;Senior
I223568;C249401;Female;61;Toys;2;71.68;Credit Card;27/08/2022;Istinye Park;143.36;2022;8;2022-08;3;Senior
I194268;C128618;Female;35;Souvenir;5;58.65;Cash;26/02/2023;Metropol AVM;293.25;2023;2;2023-02;1;Adult
I155448;C182105;Female;37;Shoes;1;600.17;Cash;27/12/2021;Mall of Istanbul;600.17;2021;12;2021-12;4;Adult
I205336;C331127;Male;32;Cosmetics;1;40.66;Cash;1/02/2023;Istinye Park;40.66;2023;2;2023-02;1;Adult
I171351;C286564;Female;68;Souvenir;1;11.73;Debit Card;10/02/2022;Kanyon;11.73;2022;2;2022-02;1;Senior
I249223;C188064;Female;44;Clothing;2;600.16;Cash;31/01/2021;Mall of Istanbul;1200.32;2021;1;2021-01;1;Adult
I258001;C293329;Female;61;Cosmetics;4;162.64;Credit Card;25/11/2021;Kanyon;650.56;2021;11;2021-11;4;Senior
I231029;C113739;Male;38;Clothing;4;1200.32;Cash;18/01/2023;Istinye Park;4801.28;2023;1;2023-01;1;Adult
I163202;C836254;Female;66;Clothing;3;900.24;Credit Card;15/03/2021;Mall of Istanbul;2700.72;2021;3;2021-03;1;Senior
I169427;C245894;Female;53;Clothing;5;1500.4;Cash;3/12/2022;Forum Istanbul;7502;2022;12;2022-12;4;Senior
I737161;C144894;Female;21;Food & Beverage;4;20.92;Credit Card;24/04/2022;Mall of Istanbul;83.68;2022;4;2022-04;2;Young
I225327;C190794;Male;61;Cosmetics;2;81.32;Cash;19/08/2022;Cevahir AVM;162.64;2022;8;2022-08;3;Senior
I159355;C142508;Female;32;Food & Beverage;4;20.92;Debit Card;28/11/2021;Metropol AVM;83.68;2021;11;2021-11;4;Adult
I280408;C135555;Female;46;Clothing;1;300.08;Cash;14/06/2021;Viaport Outlet;300.08;2021;6;2021-06;2;Senior
I323785;C501563;Male;25;Toys;2;71.68;Cash;8/01/2021;Kanyon;143.36;2021;1;2021-01;1;Adult
I257286;C152590;Female;49;Cosmetics;1;40.66;Credit Card;12/05/2021;Mall of Istanbul;40.66;2021;5;2021-05;2;Senior
I331405;C772839;Female;26;Clothing;3;900.24;Cash;2/11/2022;Kanyon;2700.72;2022;11;2022-11;4;Adult
